Curiosity,44,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,141
API,47,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,142
Time management,50,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,143
Time series,52,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,144
Data analysis,54,Marketing Data Scientist/Analyst,637,Nutanix,14,"San Jose, CA 95110 (Downtown area)",5,145
all,1,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,146
python,2,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,147
Machine learning,11,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,148
Communication,16,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,149
Deep Learning,22,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,150
Visualization,32,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,151
Mining,34,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,152
Cloud,39,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,153
Data analysis,54,Data Scientist,17,Trendmark Solutions,15,"Piscataway, NJ",6,154
all,1,Data Scientist / Statistician / Economist,18,Apple,16,"Santa Clara Valley, CA",7,155
r,3,Data Scientist / Statistician / Economist,18,Apple,16,"Santa Clara Valley, CA",7,156
modeling,10,Data Scientist / Statistician / Economist,18,Apple,16,"Santa Clara Valley, CA",7,157
Machine learning,11,Data Scientist / Statistician / Economist,18,Apple,16,"Santa Clara Valley, CA",7,158
Statistics,31,Data Scientist / Statistician / Economist,18,Apple,16,"Santa Clara Valley, CA",7,159
Curiosity,44,Data Scientist / Statistician / Economist,18,Apple,16,"Santa Clara Valley, CA",7,160
all,1,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,161
python,2,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,162
java,4,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,163
Machine learning,11,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,164
SQL,12,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,165
Computer science,15,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,166
Communication,16,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,167
NoSQL,20,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,168
Scala,27,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,169
Mining,34,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,170
Critical thinking,42,AppleCare Business Intelligence Data Scientist,27,Apple,16,"Santa Clara Valley, CA",7,171
all,1,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,172
python,2,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,173
r,3,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,174
java,4,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,175
modeling,10,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,176
Machine learning,11,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,177
SQL,12,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,178
Computer science,15,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,179
Communication,16,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,180
Spark,17,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,181
Deep Learning,22,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,182
NLP,24,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,183
Scala,27,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,184
SAS,28,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,185
Statistics,31,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,186
Visualization,32,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,187
Mathematics,33,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,188
Mining,34,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,189
TensorFlow,35,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,190
Cloud,39,Data Scientist,29,Apple,16,"Santa Clara Valley, CA",7,191
all,1,Data Scientist - Motion,39,Apple,16,"Santa Clara Valley, CA",7,192
modeling,10,Data Scientist - Motion,39,Apple,16,"Santa Clara Valley, CA",7,193
Machine learning,11,Data Scientist - Motion,39,Apple,16,"Santa Clara Valley, CA",7,194
Computer science,15,Data Scientist - Motion,39,Apple,16,"Santa Clara Valley, CA",7,195
Communication,16,Data Scientist - Motion,39,Apple,16,"Santa Clara Valley, CA",7,196
Statistics,31,Data Scientist - Motion,39,Apple,16,"Santa Clara Valley, CA",7,197
Matlab,36,Data Scientist - Motion,39,Apple,16,"Santa Clara Valley, CA",7,198
all,1,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,199
python,2,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,200
r,3,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,201
c,5,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,202
c++,6,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,203
Git,9,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,204
Machine learning,11,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,205
Computer science,15,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,206
Communication,16,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,207
Deep Learning,22,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,208
Statistics,31,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,209
Visualization,32,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,210
Matlab,36,Biomedical Data Scientist - Health Technologies,74,Apple,16,"Santa Clara Valley, CA",7,211
all,1,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,212
java,4,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,213
Writing,14,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,214
Computer science,15,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,215
Spark,17,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,216
Hadoop,19,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,217
NoSQL,20,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,218
Scala,27,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,219
Mapreduce,41,Data Scientist - iCloud,104,Apple,16,"Santa Clara Valley, CA",7,220
all,1,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,221
python,2,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,222
java,4,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,223
Machine learning,11,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,224
SQL,12,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,225
Project management,13,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,226
Computer science,15,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,227
Spark,17,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,228
Hadoop,19,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,229
Deep Learning,22,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,230
Scala,27,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,231
Hive,30,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,232
Statistics,31,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,233
Mathematics,33,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,234
Mobile,48,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,235
Time management,50,Apple Video - Data Scientist,125,Apple,16,"Santa Clara Valley, CA",7,236
all,1,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,237
python,2,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,238
r,3,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,239
modeling,10,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,240
Machine learning,11,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,241
SQL,12,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,242
Project management,13,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,243
Computer science,15,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,244
Communication,16,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,245
Spark,17,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,246
Hadoop,19,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,247
Scala,27,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,248
Statistics,31,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,249
Mathematics,33,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,250
Mining,34,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,251
Management systems,49,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,252
Time management,50,Customer Insights Data Scientist,137,Apple,16,"Santa Clara Valley, CA",7,253
all,1,Software Engineer/Data Scientist - Intern,140,Apple,16,"Santa Clara Valley, CA",7,254
Visualization,32,Software Engineer/Data Scientist - Intern,140,Apple,16,"Santa Clara Valley, CA",7,255
all,1,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,256
python,2,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,257
r,3,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,258
modeling,10,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,259
Computer science,15,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,260
Communication,16,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,261
Hadoop,19,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,262
MySQL,26,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,263
Statistics,31,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,264
Visualization,32,iOS/OS X Data Scientist,154,Apple,16,"Santa Clara Valley, CA",7,265
all,1,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,266
python,2,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,267
r,3,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,268
modeling,10,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,269
Machine learning,11,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,270
Computer science,15,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,271
Communication,16,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,272
MySQL,26,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,273
Statistics,31,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,274
Visualization,32,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,275
Matlab,36,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,276
Robotics,40,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,277
Teamwork,43,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,278
Curiosity,44,Data Scientist and Visualization Manager,190,Apple,16,"Santa Clara Valley, CA",7,279
all,1,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,280
python,2,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,281
r,3,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,282
java,4,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,283
modeling,10,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,284
SQL,12,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,285
Spark,17,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,286
Scala,27,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,287
Visualization,32,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,288
Mining,34,Data Scientist - Ad Platforms Data Insights,199,Apple,16,"Santa Clara Valley, CA",7,289
all,1,Metrics Data Scientist (Maps Evaluation),250,Apple,16,"Santa Clara Valley, CA",7,290
python,2,Metrics Data Scientist (Maps Evaluation),250,Apple,16,"Santa Clara Valley, CA",7,291
r,3,Metrics Data Scientist (Maps Evaluation),250,Apple,16,"Santa Clara Valley, CA",7,292
SQL,12,Metrics Data Scientist (Maps Evaluation),250,Apple,16,"Santa Clara Valley, CA",7,293
Writing,14,Metrics Data Scientist (Maps Evaluation),250,Apple,16,"Santa Clara Valley, CA",7,294
Communication,16,Metrics Data Scientist (Maps Evaluation),250,Apple,16,"Santa Clara Valley, CA",7,295
Hive,30,Metrics Data Scientist (Maps Evaluation),250,Apple,16,"Santa Clara Valley, CA",7,296
all,1,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,297
python,2,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,298
java,4,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,299
Machine learning,11,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,300
SQL,12,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,301
Computer science,15,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,302
Spark,17,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,303
Hadoop,19,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,304
Scala,27,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,305
Hive,30,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,306
Statistics,31,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,307
Mathematics,33,Apple Music - Data Scientist,260,Apple,16,"Santa Clara Valley, CA",7,308
all,1,"Siri - Senior Data Scientist, Data organization",263,Apple,16,"Santa Clara Valley, CA",7,309
python,2,"Siri - Senior Data Scientist, Data organization",263,Apple,16,"Santa Clara Valley, CA",7,310
r,3,"Siri - Senior Data Scientist, Data organization",263,Apple,16,"Santa Clara Valley, CA",7,311
Git,9,"Siri - Senior Data Scientist, Data organization",263,Apple,16,"Santa Clara Valley, CA",7,312
modeling,10,"Siri - Senior Data Scientist, Data organization",263,Apple,16,"Santa Clara Valley, CA",7,313
